Title,Price,Address,Beds
"915 S Loomis St Unit 2, Chicago, IL","$3,000","915 S Loomis St Unit 2, Chicago, IL",5 Bed
"917 S Loomis St Unit 1, Chicago, IL","$3,100","917 S Loomis St Unit 1, Chicago, IL",5 Bed
"900 Ashland S Ave Unit 1, Chicago, IL","$2,667","900 Ashland S Ave Unit 1, Chicago, IL",2 Bed
"1224 W Van Buren St Unit 505, Chicago, IL","$2,300","1224 W Van Buren St Unit 505, Chicago, IL",1 Bed
"324 S Racine Ave Unit 2NR, Chicago, IL","$1,995","324 S Racine Ave Unit 2NR, Chicago, IL",1 Bed
"324 Racine S Ave Unit 1, Chicago, IL","$1,850","324 Racine S Ave Unit 1, Chicago, IL",1 Bed
"324 S Racine Ave Unit 4S, Chicago, IL","$3,495","324 S Racine Ave Unit 4S, Chicago, IL",3 Bed
"1035 W Van Buren St Unit 2, Chicago, IL","$2,736","1035 W Van Buren St Unit 2, Chicago, IL",1 Bed
"1002 W Van Buren St Unit 306, Chicago, IL","$3,000","1002 W Van Buren St Unit 306, Chicago, IL",2 Bed
"225 Sangamon S St Unit 610, Chicago, IL","$2,750","225 Sangamon S St Unit 610, Chicago, IL",Condo for Rent
"1451 S Halsted St Unit 1B, Chicago, IL","$2,700","1451 S Halsted St Unit 1B, Chicago, IL",Condo for Rent
"850 W Adams St Unit 4E, Chicago, IL","$2,225","850 W Adams St Unit 4E, Chicago, IL",1 Bed
"1228 W Monroe St Unit 404, Chicago, IL","$2,200","1228 W Monroe St Unit 404, Chicago, IL",1 Bed
"1508 W 17th St Unit R2, Chicago, IL","$1,300","1508 W 17th St Unit R2, Chicago, IL",2 Bed
"700 W Van Buren St Unit 703, Chicago, IL","$2,100","700 W Van Buren St Unit 703, Chicago, IL",1 Bed
"6 Laflin S St Unit 307, Chicago, IL","$2,280","6 Laflin S St Unit 307, Chicago, IL",Condo for Rent
"1816 S Peoria St Unit 1, Chicago, IL","$2,000","1816 S Peoria St Unit 1, Chicago, IL",3 Bed
"1757 17th W St Unit 3, Chicago, IL","$2,040","1757 17th W St Unit 3, Chicago, IL",3 Bed
"701 S Wells St Unit 1506, Chicago, IL","$2,435","701 S Wells St Unit 1506, Chicago, IL",2 Bed
"732 S Financial Pl Unit 507, Chicago, IL","$2,350","732 S Financial Pl Unit 507, Chicago, IL",Condo for Rent
"321 S Sangamon St Unit 807, Chicago, IL","$2,100","321 S Sangamon St Unit 807, Chicago, IL",1 Bed
"1753 21st W St Unit 1, Chicago, IL","$1,500","1753 21st W St Unit 1, Chicago, IL",3 Bed
"1043 Oakley S Blvd Unit 1, Chicago, IL","$1,650","1043 Oakley S Blvd Unit 1, Chicago, IL",3 Bed
"650 W Wayman St Unit 606C, Chicago, IL","$2,100","650 W Wayman St Unit 606C, Chicago, IL",Condo for Rent
"740 Federal S St Unit 910, Chicago, IL","$2,700","740 Federal S St Unit 910, Chicago, IL",Condo for Rent
"1162 Hubbard W St Unit 304, Chicago, IL","$3,300","1162 Hubbard W St Unit 304, Chicago, IL",Condo for Rent
"836 W Hubbard St Unit 302, Chicago, IL","$1,850","836 W Hubbard St Unit 302, Chicago, IL",1 Bed
"537 S Dearborn St Unit 10A, Chicago, IL","$2,195","537 S Dearborn St Unit 10A, Chicago, IL",2 Bed
"633 Plymouth S Ct Unit 904, Chicago, IL","$1,775","633 Plymouth S Ct Unit 904, Chicago, IL",Condo for Rent
"235 W Van Buren St Unit 2514, Chicago, IL","$2,540","235 W Van Buren St Unit 2514, Chicago, IL",Condo for Rent
"2442 W Fillmore St Unit 3, Chicago, IL","$1,860","2442 W Fillmore St Unit 3, Chicago, IL",3 Bed
"2442 W Fillmore St Unit Apt 2, Chicago, IL","$1,830","2442 W Fillmore St Unit Apt 2, Chicago, IL",3 Bed
"400 N Clinton St Unit 404, Chicago, IL","$1,995","400 N Clinton St Unit 404, Chicago, IL",1 Bed
"731 W Ohio St Unit #3, Chicago, IL","$1,750","731 W Ohio St Unit #3, Chicago, IL",Studio
"910 S Michigan Ave Unit 1015, Chicago, IL","$2,695","910 S Michigan Ave Unit 1015, Chicago, IL",Condo for Rent
"1250 S Michigan Ave Unit 1002, Chicago, IL","$1,850","1250 S Michigan Ave Unit 1002, Chicago, IL",1 Bed
"622 Ashland N Ave Unit 3, Chicago, IL","$3,900","622 Ashland N Ave Unit 3, Chicago, IL",Condo for Rent
"6 E Monroe St Unit 1401, Chicago, IL","$2,300","6 E Monroe St Unit 1401, Chicago, IL",Condo for Rent
"535 Michigan N Ave Unit 512, Chicago, IL","$1,525","535 Michigan N Ave Unit 512, Chicago, IL",Condo for Rent
"1462 S Michigan Ave Unit 204, Chicago, IL","$2,400","1462 S Michigan Ave Unit 204, Chicago, IL",2 Bed
"1464 S Michigan Ave Unit 2407, Chicago, IL","$4,800","1464 S Michigan Ave Unit 2407, Chicago, IL",3 Bed
"1935 Archer S Ave Unit 518, Chicago, IL","$1,750","1935 Archer S Ave Unit 518, Chicago, IL",Condo for Rent
"1935 S Archer Ave Unit 423, Chicago, IL","$1,740","1935 S Archer Ave Unit 423, Chicago, IL",Condo for Rent
"925 W Huron St Unit 9, Chicago, IL","$2,450","925 W Huron St Unit 9, Chicago, IL",2 Bed
"925 W Huron St Unit 509, Chicago, IL","$2,050","925 W Huron St Unit 509, Chicago, IL",1 Bed
"925 W Huron St Unit 2, Chicago, IL","$1,950","925 W Huron St Unit 2, Chicago, IL",1 Bed
"330 Illinois W St Unit C, Chicago, IL","$1,760","330 Illinois W St Unit C, Chicago, IL",1 Bed
"330 W Illinois St Unit 1, Chicago, IL","$1,875","330 W Illinois St Unit 1, Chicago, IL",1 Bed
"330 W Illinois St Unit S, Chicago, IL","$1,555","330 W Illinois St Unit S, Chicago, IL",Studio
"200 Dearborn N St Unit 4303, Chicago, IL","$1,900","200 Dearborn N St Unit 4303, Chicago, IL",Condo for Rent
"200 N Dearborn St Unit 1306, Chicago, IL","$2,795","200 N Dearborn St Unit 1306, Chicago, IL",Condo for Rent
"1720 S Michigan Ave Unit 2810, Chicago, IL","$2,450","1720 S Michigan Ave Unit 2810, Chicago, IL",Condo for Rent
"345 N LaSalle Dr Unit 1803, Chicago, IL","$3,250","345 N LaSalle Dr Unit 1803, Chicago, IL",Condo for Rent
"330 Grand W Ave Unit 1601, Chicago, IL","$2,950","330 Grand W Ave Unit 1601, Chicago, IL",Condo for Rent
"1702 W Superior St Unit 1, Chicago, IL","$1,700","1702 W Superior St Unit 1, Chicago, IL",3 Bed
"375 W Erie St Unit 505, Chicago, IL","$2,200","375 W Erie St Unit 505, Chicago, IL",Condo for Rent
"2812 S Grady Ct Unit 2R, Chicago, IL",$800,"2812 S Grady Ct Unit 2R, Chicago, IL",2 Bed
"2320 23rd W Pl Unit 1, Chicago, IL","$1,650","2320 23rd W Pl Unit 1, Chicago, IL",3 Bed
"630 N Franklin St Unit 616, Chicago, IL","$1,950","630 N Franklin St Unit 616, Chicago, IL",Condo for Rent
"1345 Walton W St Unit 1, Chicago, IL","$2,100","1345 Walton W St Unit 1, Chicago, IL",3 Bed
"835 N Wolcott Ave Unit 4FL, Chicago, IL","$3,600","835 N Wolcott Ave Unit 4FL, Chicago, IL",3 Bed
"837 N Wolcott Ave Unit 1, Chicago, IL","$3,600","837 N Wolcott Ave Unit 1, Chicago, IL",3 Bed
"848 N Winchester Ave Unit Garden, Chicago, IL","$2,200","848 N Winchester Ave Unit Garden, Chicago, IL",2 Bed
