Title,Price,Address,Beds,Neighborhood,Latitude,Longitude
"Park Michigan - 1212 S Michigan Ave, Chicago, IL","$1,420","1212 S Michigan Ave, Chicago, IL 60605",Studio - 2 Bed,Near South Side,41.8669892,-87.6245727
"The Alfred, Chicago, IL","$1,710","30 E Adams St, Chicago, IL 60603",Studio - 2 Bed,Chicago Loop,41.8797621,-87.6266304
"SKY55, Chicago, IL","$1,995","1255 S Michigan Ave, Chicago, IL 60605",1-2 Bed,Near South Side,41.8660868,-87.6238149
"1251 S Michigan - Senior Living, Chicago, IL",$705,"1251 S Michigan Ave, Chicago, IL 60605",Studio - 1 Bed,Near South Side,41.866253,-87.6238066
"OneEleven, Chicago, IL","$1,823","111 W Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,Chicago Loop,41.8865866,-87.63140659999999
"City Gardens - No Apartments Available, Chicago, IL",$895,"312 S Maplewood Ct, Chicago, IL 60612",1 Bed,Near West Side,41.8766513,-87.6906271
"Mondial River West, Chicago, IL","$1,850","910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,West Town,41.8953434,-87.65044499999999
"Parc Huron, Chicago, IL","$2,196","469 W Huron St, Chicago, IL 60654",1-3 Bed,River North,41.8945135,-87.64122050000002
"Millennium Park Plaza, Chicago, IL","$1,695","151-155 N Michigan Ave, Chicago, IL 60601",Studio - 3 Bed,Chicago Loop,41.8849009,-87.6241759
"The Hudson, Chicago, IL","$2,125","750 N Hudson Ave, Chicago, IL 60654",1-3 Bed,River North,41.8962137,-87.64022519999999
"640 North Wells, Chicago, IL","$2,310","640 N Wells St, Chicago, IL 60654",Studio - 3 Bed,River North,41.89373730000001,-87.63444160000002
"The Gallery on Wells, Chicago, IL","$1,561","167 W Erie St, Chicago, IL 60654",Studio - 3 Bed,River North,41.8939621,-87.6337016
"The Ardus, Chicago, IL","$1,535","676 N La Salle Dr, Chicago, IL 60654",Studio - 1 Bed,River North,41.8945286,-87.63340520000001
"State and Grand, Chicago, IL","$1,940","505 N State St, Chicago, IL 60654",1-3 Bed,River North,41.8911047,-87.62704029999999
"Exhibit on Superior, Chicago, IL","$1,651","165 W Superior St, Chicago, IL 60654",Studio - 3 Bed,River North,41.8954256,-87.6336282
